,bladder,breast_cancer,cervical,head n neck,KIRC,KIRP,LUAD,LUSC,PRAD,STAD,THCA,UCEC,Unnamed: 13
bladder,1.0,0.21273183223333525,0.5890674887318814,0.14996730120332694,0.1621637442161714,0.32607857254369194,0.6655094641003833,0.2557578418504392,0.9960319632776606,0.9636585678856933,0.672035793886793,0.8691318647540677,
breast_cancer,0.21273183223333525,1.0,0.86351253341958,0.9316815513721607,0.8729396695785153,0.36664433969200355,0.8476750251626792,0.9478294312882619,0.2848296243037348,0.31755896461982414,0.8267250127028374,0.33321914799324304,
cervical,0.5890674887318814,0.86351253341958,1.0,0.8855284491755241,0.7354766113779104,0.29402381152426965,0.975662499290553,0.8965860370749563,0.6454927981449728,0.6340844064473541,0.9104940644124461,0.6310454595335485,
head n neck,0.14996730120332694,0.9316815513721607,0.8855284491755241,1.0,0.8085405172360608,0.18103090289220927,0.8099412954270342,0.9546873154334312,0.22079877958053606,0.22327875670980843,0.7275257276988156,0.27977177515325874,
KIRC,0.1621637442161714,0.8729396695785153,0.7354766113779104,0.8085405172360608,1.0,0.693256036317665,0.7099590250935417,0.795663976989554,0.22575487058605104,0.27468160529137975,0.7557536962153149,0.46126157036718957,
KIRP,0.32607857254369194,0.36664433969200355,0.29402381152426965,0.18103090289220927,0.693256036317665,1.0,0.3431651198764304,0.24507438871691412,0.3438065056839164,0.40489049767025903,0.5185879526078471,0.6261915710098327,
LUAD,0.6655094641003833,0.8476750251626792,0.975662499290553,0.8099412954270342,0.7099590250935417,0.3431651198764304,1.0,0.8569119378145151,0.7194778736751303,0.7169843214413772,0.9550956890750347,0.6765894380196142,
LUSC,0.2557578418504392,0.9478294312882619,0.8965860370749563,0.9546873154334312,0.795663976989554,0.24507438871691412,0.8569119378145151,1.0,0.32624086628798543,0.34438989342605014,0.7911473683542958,0.3509423466783947,
PRAD,0.9960319632776606,0.2848296243037348,0.6454927981449728,0.22079877958053606,0.22575487058605104,0.3438065056839164,0.7194778736751303,0.32624086628798543,1.0,0.9763778692028435,0.723348573421839,0.8804585955462235,
STAD,0.9636585678856933,0.31755896461982414,0.6340844064473541,0.22327875670980843,0.27468160529137975,0.40489049767025903,0.7169843214413772,0.34438989342605014,0.9763778692028435,1.0,0.7381611637794842,0.8745001949651385,
THCA,0.672035793886793,0.8267250127028374,0.9104940644124461,0.7275257276988156,0.7557536962153149,0.5185879526078471,0.9550956890750347,0.7911473683542958,0.723348573421839,0.7381611637794842,1.0,0.7076179338846338,
UCEC,0.8691318647540677,0.33321914799324304,0.6310454595335485,0.27977177515325874,0.46126157036718957,0.6261915710098327,0.6765894380196142,0.3509423466783947,0.8804585955462235,0.8745001949651385,0.7076179338846338,1.0,
Unnamed: 13,,,,,,,,,,,,,
