Gene,Half_Life
YOR347C,25151265829.47671
YDL223C,18111494782.651386
YBL098W,14056495602.445711
YDL023C,13722630696.27812
YDR535C,13410901481.291388
YGR248W,12548505726.439405
YOL052C-A,11416437647.78486
YKR023W,10267539800.729078
YBL064C,9849865601.701738
YJL207C,8813883115.852798
YOR027W,8424772262.113479
YOL162W,8100462449.514525
YMR251W-A,7806986065.14784
YMR186W,7773553066.491346
YLR445W,7456199821.817052
YJL089W,7281683150.913754
YDR001C,6941204582.04752
YGL170C,6714964339.244401
YGR142W,6445054465.841224
YDL222C,6066423461.751695
YPR184W,6034895700.519599
YBR126C,5906076724.225227
YGR250C,5675627429.753935
YNL019C,5551700978.284911
YPL123C,5486246006.540645
YOL132W,5455712521.405523
YLR081W,5302091216.3143015
YNL012W,5159212366.8889475
YPL200W,4950446320.24816
YPR160W,4847450759.832076
YLR205C,4661193693.224082
YJL042W,4623891811.770288
YKL162C,4590253574.430563
YOR255W,4543436236.464613
YAL015C,4508113922.9558935
YPL192C,4409864517.703966
YLR149C,4228827285.2641206
YPL174C,4188169440.3458896
Q0120,4035115383.5922337
YOR393W,3846995997.0157638
YOR344C,3815851246.760996
YIL172C,3800832094.0554276
YKL011C,3795391341.268144
YDR074W,3740648133.12914
YLR270W,3588900747.951828
YHL024W,3528694929.614189
YKL035W,3218714034.4713426
YIL155C,3151356788.158898
YPL106C,3118439792.0756373
YML054C,3083973308.305863
YNL160W,2946379977.385
YNL036W,2920032026.5795794
YLR258W,2862766326.9685874
YLR165C,2733234997.5134425
YDL039C,2516988712.6471653
YPL067C,2484612490.442928
YDR428C,2440612255.7213826
YER104W,2327270901.991958
YBR072W,2183954151.454161
YDR157W,2169799665.6772366
YGR164W,2009231696.9930995
YOR121C,1901623451.119551
YFL050C,1845825913.0579433
YMR323W,1740377742.3048975
YOR120W,1459068359.115295
YKL187C,1432929257.8399277
YGR249W,1406979499.8623781
YLR162W,1382002925.4287946
YKL050C,1347315214.0402453
YOR317W,1341483512.763957
YBL048W,1327553628.2404234
YMR196W,1296344423.7966762
YGL121C,1186353389.843002
YPL185W,1147378272.2390103
YMR173W,1118161417.6175935
YER121W,1108664455.42772
YHR140W,1042434324.2208127
YPL186C,1035764555.7500864
YDR010C,1003017321.0199609
YJL047C,970621142.4321243
YCL048W,957551897.3985857
YML104C,948435857.9551733
YLR053C,937430899.9068109
YPR096C,920047412.5056797
YDR201W,915504685.7447306
YLR263W,836528245.0703278
YIL099W,705220332.3382773
YHL036W,626118440.7112927
YGR066C,473660679.1113844
YDR446W,408480140.43679714
YNL274C,397881495.604249
Q0085,307488729.95850164
YEL064C,295283943.97188205
YLL053C,278536959.43353
YOR297C,238441677.43762112
YMR174C,198932388.70319852
YPR151C,188342532.76825574
YIL136W,188018471.22712684
YGL026C,143058507.1849813
YDR403W,111918600.58608101
YER181C,47903612.07889973
YCR036W,24183356.179042432
YNL275W,13457405.227267928
YBR054W,2202321.025717921
YGL125W,33132.48929199932
YGR087C,16658.43834616402
YBL078C,9436.888835606911
YOR298W,8670.11061745908
YHL021C,5931.753408721543
YIR025W,4304.252136991236
YCR010C,3394.565031672746
YGR131W,3342.244643660582
YCL076W,3332.530699057251
YER098W,3161.2530310747056
YDR214W,3128.793238792565
YNL191W,2248.156119034712
YLL042C,1562.6510234356806
YLR282C,1529.2034898543454
YML089C,1475.630796962495
YPL281C,1388.824497871257
YIL117C,1356.3553099725464
YGR088W,1250.8164223915521
YLR216C,1197.8232240113964
YPR015C,1191.2431562444601
YDR317W,1125.3950076131134
YER097W,1107.1862321810484
YNL008C,1039.0899527223264
YAL060W,949.9691756070625
YNL015W,903.0184326793984
YMR251W,884.0709810762569
YDL220C,831.7414635069184
YOR374W,797.2138761941377
YKL103C,739.2147400294299
YGR100W,722.5345393107209
YGL052W,718.6337652153682
YEL030W,716.6377458465416
YKL102C,664.9428811635796
YOR387C,607.6714831825535
YMR104C,596.5824641787111
YDR123C,589.3912948434905
YOR192C,576.0149111055765
YML070W,567.8660967613308
YJL099W,542.4034063281382
YMR103C,536.2835768300471
YLL039C,536.1120072771101
YIR017C,523.5093648555617
YMR169C,492.70595576192983
YPR154W,476.9489508924171
YBR099C,467.75768182998274
YDL021W,462.4347942687619
YBR066C,455.49536644326645
YBR051W,442.67391288944674
YIR029W,433.7901633187578
YBR213W,433.0524700374865
YOL134C,413.1201594345721
YMR092C,411.77857386561726
YJL105W,409.23575083067993
YLR311C,378.5957509258423
YDR364C,376.52576207062907
YEL060C,359.2853773740465
YLL050C,344.58341907738674
YDR376W,338.0003097153739
YMR010W,334.2407817021431
YKL151C,331.73028937357765
YKR091W,326.61232682751694
YGL037C,320.4410974786722
YLR087C,318.16949654242524
YER106W,318.01827634303316
YMR107W,312.27839180109794
YDL132W,310.9800134165151
YER053C,309.1830130808201
YPR150W,305.47465409705353
YHR184W,304.4774018090798
YHR210C,298.39860561330414
YKL199C,297.30818049314536
YPL240C,295.1984616950677
YLR134W,284.33718723699434
YMR253C,284.29392119376985
YKL022C,279.61096581266946
YMR279C,278.6572007990605
YMR244W,276.8493302706634
YHR139C,274.67979371229194
YMR210W,272.6816900782579
YBR168W,272.00103136393517
YHR008C,270.50101132020416
YOR296W,270.134993596673
YJL068C,267.53059068902894
YBR047W,263.662241580033
YOL153C,262.67346295459123
YLL055W,262.6560608189539
YDL238C,259.73233587727555
YDR401W,257.39052405559505
YER094C,257.27197062435715
YPL025C,250.95963043050267
YIL162W,250.01782068774966
YPR109W,249.73029894358842
YJL041W,249.6608252746868
Q0055,249.01651884452681
YPR007C,248.96119098733564
YOR170W,248.370279694188
YJL170C,247.1314793299501
YMR028W,244.98847828291696
YOR228C,244.30414181845435
YPR164W,241.4930136316672
YGR136W,241.27635969493227
YDR475C,240.39113098044172
YOR348C,240.38875178697361
YGL093W,238.37132670053694
YKL150W,237.2568493470434
YIL168W,236.8532958724768
YOR376W,235.58202254206677
YNL286W,232.1552998344762
YGR043C,232.12228095428273
YPR157W,231.5700039918489
YNR058W,230.76107340427083
YLR259C,230.57963804565256
YIR039C,229.37266090667146
YDL161W,227.41657579134935
YKL036C,226.70244856409334
YJL021C,226.58510441134354
YPL033C,225.80327750562967
YPR077C,225.28689493726554
YDR258C,222.76333363950684
YGR137W,217.64202133642243
YBR100W,217.4240876066999
YKR040C,216.52280767100842
YIL165C,216.40400033405476
YPL152W,215.71063832297907
Q0045,214.39080662502195
YOR141C,213.80799915968066
YDL024C,213.6973595625224
YAL037W,212.81197067450302
YML100W,212.6407648606459
YOR036W,211.4469570580998
YMR173W-A,210.4979821154901
Q0070,210.02753166878458
YNL017C,209.28180263806019
YGL010W,208.67984869978818
YCL075W,208.5940377567008
YHL045W,206.55217432326782
YIL107C,204.67637030624482
YMR082C,204.40072859683124
YHR021W-A,203.0441205406606
YGL034C,203.02500183777013
YBR116C,202.70074699967688
YLL024C,201.9712639876214
YDL221W,201.8291973857005
YMR061W,201.14378617139363
YGR236C,200.22054059040616
YPL201C,199.05302017979992
YER079W,197.51103081227296
YHR049W,195.43648251751972
YNL195C,192.99849654805035
YHR116W,192.72491428768402
YDL087C,192.01262071980102
YDR275W,191.33496269991275
YNR001C,188.62630253230796
YER066C-A,188.57465238755597
YHR157W,187.77029340025513
YDL110C,187.40115426641236
YLR161W,186.52498411684618
YMR261C,185.84448255115208
YHR015W,183.55785998836066
YDL008W,183.1938184601313
YKR002W,179.41158174651437
YOR173W,179.36721400954306
YOR052C,179.12606892074376
YKL152C,178.31265120207195
YLR178C,178.29734785192707
YBR209W,177.77876540744435
YNL093W,176.72980803775664
YDR032C,175.62512454741378
YBL077W,174.64508216957358
YLR423C,174.19673212051586
YGR107W,173.9269513330746
YGL156W,173.6128533891273
YLR269C,171.8529059579525
YPR045C,171.76059997390425
YIR013C,171.3368765253288
YDL022W,170.62853259352775
YBR076W,169.68584909742356
YIR009W,168.45481212869112
YPL058C,167.8938230058517
YCL020W,166.7481531422782
YDL107W,165.83723705303873
YDR257C,164.15330676217263
YPR055W,163.65107061303
YPL150W,163.4530038572484
YOR124C,161.01326386549562
YML041C,159.8025221535098
YNR068C,159.51374568786161
YDR077W,157.7924486332377
YOL084W,157.52733789840707
YNR047W,156.90319610452352
YIL001W,156.56777041182673
